workstream,method,param,rung,eval,prr,n_seeds,mode,source_csv
F5-linear,anchored-wMSP,perplexity,ID,xsum,-0.1719,3,floor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,LOO-long,asqa,0.3161,3,floor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,LOO-long,cnn_dailymail,0.4096,3,floor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,LOO-long,expertqa,0.0393,3,floor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,LOO-long,factscore,0.3260,3,floor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,LOO-long,med_quad,0.0771,3,floor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,LOO-long,pubmed_qa,-0.1736,3,floor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,LOO-long,samsum,0.1128,3,floor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,LOO-long,xsum,-0.1719,3,floor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,SameTask-long,asqa,0.3161,3,floor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,SameTask-long,cnn_dailymail,0.4096,3,floor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,SameTask-long,expertqa,0.0393,3,floor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,SameTask-long,factscore,0.3260,3,floor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,SameTask-long,med_quad,0.0771,3,floor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,SameTask-long,pubmed_qa,-0.1736,3,floor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,SameTask-long,samsum,0.1128,3,floor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,perplexity,SameTask-long,xsum,-0.1719,3,floor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,1ds-Diff-long,asqa,0.2127,3,anchor,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,1ds-Diff-long,cnn_dailymail,0.1170,3,anchor,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,1ds-Diff-long,expertqa,0.0036,3,anchor,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,1ds-Diff-long,factscore,0.1815,3,anchor,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,1ds-Diff-long,med_quad,0.0851,3,anchor,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,1ds-Diff-long,pubmed_qa,0.2117,3,anchor,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,1ds-Diff-long,samsum,0.0762,3,anchor,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,1ds-Diff-long,xsum,0.1097,3,anchor,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,DiffTask-long,asqa,0.2592,3,anchor,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,DiffTask-long,cnn_dailymail,0.1131,3,anchor,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,DiffTask-long,expertqa,0.0956,3,anchor,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,DiffTask-long,factscore,0.2614,3,anchor,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,DiffTask-long,med_quad,0.1522,3,anchor,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,DiffTask-long,pubmed_qa,0.1317,3,anchor,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,DiffTask-long,samsum,0.0829,3,anchor,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,DiffTask-long,xsum,-0.0734,3,anchor,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,ID,asqa,0.4767,3,anchor,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,ID,cnn_dailymail,0.5027,3,anchor,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,ID,expertqa,0.4181,3,anchor,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,ID,factscore,0.5609,3,anchor,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,ID,med_quad,0.3777,3,anchor,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,ID,pubmed_qa,0.5366,3,anchor,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,ID,samsum,0.4156,3,anchor,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,ID,xsum,0.3096,3,anchor,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,LOO-long,asqa,0.2777,3,anchor,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,LOO-long,cnn_dailymail,0.1313,3,anchor,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,LOO-long,expertqa,0.0136,3,anchor,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,LOO-long,factscore,0.0806,3,anchor,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,LOO-long,med_quad,0.1530,3,anchor,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,LOO-long,pubmed_qa,0.2589,3,anchor,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,LOO-long,samsum,0.2238,3,anchor,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,LOO-long,xsum,0.1230,3,anchor,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,SameTask-long,asqa,0.2064,3,anchor,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,SameTask-long,cnn_dailymail,0.1263,3,anchor,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,SameTask-long,expertqa,0.1378,3,anchor,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,SameTask-long,factscore,0.1518,3,anchor,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,SameTask-long,med_quad,0.1179,3,anchor,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,SameTask-long,pubmed_qa,0.0645,3,anchor,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,SameTask-long,samsum,0.2218,3,anchor,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.0,SameTask-long,xsum,0.1410,3,anchor,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,asqa,0.2160,3,random,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,asqa,0.2501,3,anchor,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,cnn_dailymail,0.1156,3,anchor,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,cnn_dailymail,0.1288,3,random,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,expertqa,0.0449,3,anchor,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,expertqa,0.0552,3,random,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,factscore,0.1945,3,random,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,factscore,0.2377,3,anchor,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,med_quad,0.1175,3,random,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,med_quad,0.1427,3,anchor,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,pubmed_qa,0.2123,3,random,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,pubmed_qa,0.2482,3,anchor,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,samsum,0.1706,3,anchor,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,samsum,0.2289,3,random,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,xsum,0.1489,3,anchor,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,1ds-Diff-long,xsum,0.1551,3,random,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,asqa,0.2745,3,random,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,asqa,0.2911,3,anchor,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,cnn_dailymail,0.1318,3,random,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,cnn_dailymail,0.1339,3,anchor,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,expertqa,0.0636,3,random,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,expertqa,0.0661,3,anchor,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,factscore,0.1987,3,random,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,factscore,0.2785,3,anchor,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,med_quad,0.1194,3,anchor,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,med_quad,0.1355,3,random,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,pubmed_qa,0.1765,3,random,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,pubmed_qa,0.1957,3,anchor,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,samsum,0.0729,3,random,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,samsum,0.1219,3,anchor,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,xsum,-0.0557,3,random,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,DiffTask-long,xsum,-0.0748,3,anchor,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,asqa,0.4552,3,anchor,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,asqa,0.4753,3,random,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,cnn_dailymail,0.5061,3,random,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,cnn_dailymail,0.5065,3,anchor,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,expertqa,0.4575,3,anchor,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,expertqa,0.4739,3,random,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,factscore,0.5447,3,random,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,factscore,0.5517,3,anchor,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,med_quad,0.3443,3,random,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,med_quad,0.3853,3,anchor,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,pubmed_qa,0.5492,3,anchor,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,pubmed_qa,0.6043,3,random,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,samsum,0.4132,3,anchor,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,samsum,0.4231,3,random,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,xsum,0.3426,3,anchor,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,ID,xsum,0.3450,3,random,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,asqa,0.2383,3,random,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,asqa,0.2811,3,anchor,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,cnn_dailymail,0.1360,3,anchor,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,cnn_dailymail,0.1388,3,random,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,expertqa,0.0336,3,anchor,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,expertqa,0.0382,3,random,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,factscore,0.1674,3,random,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,factscore,0.1945,3,anchor,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,med_quad,0.1581,3,random,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,med_quad,0.1601,3,anchor,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,pubmed_qa,0.1573,3,random,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,pubmed_qa,0.2253,3,anchor,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,samsum,0.1998,3,anchor,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,samsum,0.2230,3,random,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,xsum,0.1472,3,anchor,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,LOO-long,xsum,0.1547,3,random,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,asqa,0.2350,3,random,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,asqa,0.2595,3,anchor,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,cnn_dailymail,0.1224,3,random,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,cnn_dailymail,0.1229,3,anchor,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,expertqa,0.1425,3,random,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,expertqa,0.1500,3,anchor,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,factscore,0.1417,3,random,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,factscore,0.1493,3,anchor,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,med_quad,0.1082,3,random,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,med_quad,0.1358,3,anchor,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,pubmed_qa,0.0473,3,anchor,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,pubmed_qa,0.1129,3,random,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,samsum,0.1479,3,random,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,samsum,0.2383,3,anchor,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,xsum,0.1381,3,anchor,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.1,SameTask-long,xsum,0.1707,3,random,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,asqa,0.2421,3,random,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,asqa,0.2568,3,anchor,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,cnn_dailymail,0.1195,3,anchor,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,cnn_dailymail,0.1298,3,random,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,expertqa,0.0229,3,anchor,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,expertqa,0.0646,3,random,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,factscore,0.2144,3,anchor,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,factscore,0.2422,3,random,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,med_quad,0.1503,3,random,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,med_quad,0.1559,3,anchor,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,pubmed_qa,0.1817,3,random,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,pubmed_qa,0.1888,3,anchor,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,samsum,0.1443,3,random,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,samsum,0.2068,3,anchor,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,xsum,0.1298,3,random,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,1ds-Diff-long,xsum,0.1329,3,anchor,anchor_msp_min_xsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,asqa,0.2465,3,anchor,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,asqa,0.2736,3,random,anchor_msp_min_asqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,cnn_dailymail,0.1485,3,random,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,cnn_dailymail,0.1529,3,anchor,anchor_msp_min_cnn_dailymail__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,expertqa,0.0649,3,anchor,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,expertqa,0.1157,3,random,anchor_msp_min_expertqa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,factscore,0.2350,3,random,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,factscore,0.2653,3,anchor,anchor_msp_min_factscore__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,med_quad,0.1021,3,random,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,med_quad,0.1130,3,anchor,anchor_msp_min_med_quad__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,pubmed_qa,0.1489,3,random,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,pubmed_qa,0.2061,3,anchor,anchor_msp_min_pubmed_qa__logpen__meta-llama_Meta-Llama-3.1-8B.csv
F5b-log,anchored-wMSP,0.3,DiffTask-long,samsum,0.0602,3,anchor,anchor_msp_min_samsum__logpen__meta-llama_Meta-Llama-3.1-8B.csv
