model,eval,rung,train,method,family,prr_mean,prr_std,n_seeds,degenerate_seeds,source,method_cells,complete_grid
Qwen/Qwen2.5-14B,cnn_dailymail,SameTask-long,,uniform,this project,0.1722,0.0284,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,SameTask-long,,attention,this project,0.1537,0.0396,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,SameTask-long,,wmsp_norm,this project,0.0343,0.0214,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,SameTask-long,,wmsp_shrink2,this project,0.169,0.0279,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,SameTask-long,,wmsp_shrink10,this project,0.1444,0.0202,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,DiffTask-long,,floor_sum,reference baseline,-0.2923,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,DiffTask-long,,floor_ppl,reference baseline,-0.0442,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,DiffTask-long,,floor_min,reference baseline,-0.1077,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,DiffTask-long,,fair_floor,reference baseline,-0.1077,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,DiffTask-long,,saplma,reference baseline,0.1592,0.0176,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,DiffTask-long,,uniform,this project,0.1192,0.04,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,DiffTask-long,,attention,this project,0.1131,0.0422,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,DiffTask-long,,wmsp_norm,this project,-0.0464,0.0344,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,DiffTask-long,,wmsp_shrink2,this project,-0.0141,0.0217,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,DiffTask-long,,wmsp_shrink10,this project,0.0016,0.0272,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,LOO-long,,floor_sum,reference baseline,-0.2923,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,LOO-long,,floor_ppl,reference baseline,-0.0442,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,LOO-long,,floor_min,reference baseline,-0.1077,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,LOO-long,,fair_floor,reference baseline,-0.1077,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,LOO-long,,saplma,reference baseline,0.2076,0.025,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,LOO-long,,uniform,this project,0.1686,0.0181,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,LOO-long,,attention,this project,0.1308,0.0253,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,LOO-long,,wmsp_norm,this project,-0.0205,0.0564,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,LOO-long,,wmsp_shrink2,this project,0.1191,0.0167,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,LOO-long,,wmsp_shrink10,this project,0.0716,0.0096,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,1ds-Diff-long,,floor_sum,reference baseline,-0.2923,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,1ds-Diff-long,,floor_ppl,reference baseline,-0.0442,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,1ds-Diff-long,,floor_min,reference baseline,-0.1077,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,1ds-Diff-long,,fair_floor,reference baseline,-0.1077,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,1ds-Diff-long,,saplma,reference baseline,0.177,0.0161,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,1ds-Diff-long,,uniform,this project,0.1747,0.0049,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,1ds-Diff-long,,attention,this project,0.2084,0.0096,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,1ds-Diff-long,,wmsp_norm,this project,0.0633,0.0497,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,1ds-Diff-long,,wmsp_shrink2,this project,0.093,0.0094,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,1ds-Diff-long,,wmsp_shrink10,this project,0.0168,0.023,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,ID,,floor_sum,reference baseline,0.2307,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,ID,,floor_ppl,reference baseline,0.299,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,ID,,floor_min,reference baseline,0.1957,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,ID,,fair_floor,reference baseline,0.1957,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,ID,,saplma,reference baseline,0.5005,0.0046,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,ID,,uniform,this project,0.4585,0.0137,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,ID,,attention,this project,0.3767,0.067,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,ID,,wmsp_norm,this project,0.3322,0.0376,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,ID,,wmsp_shrink2,this project,0.464,0.0129,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,ID,,wmsp_shrink10,this project,0.5073,0.0103,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,SameTask-long,,floor_sum,reference baseline,0.2307,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,SameTask-long,,floor_ppl,reference baseline,0.299,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,SameTask-long,,floor_min,reference baseline,0.1957,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,SameTask-long,,fair_floor,reference baseline,0.1957,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,SameTask-long,,saplma,reference baseline,0.125,0.0521,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,SameTask-long,,uniform,this project,0.1032,0.045,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,SameTask-long,,attention,this project,0.0991,0.0553,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,SameTask-long,,wmsp_norm,this project,0.0402,0.0089,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,SameTask-long,,wmsp_shrink2,this project,0.1611,0.0513,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,SameTask-long,,wmsp_shrink10,this project,0.1954,0.0145,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,DiffTask-long,,floor_sum,reference baseline,0.2307,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,DiffTask-long,,floor_ppl,reference baseline,0.299,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,DiffTask-long,,floor_min,reference baseline,0.1957,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,DiffTask-long,,fair_floor,reference baseline,0.1957,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,DiffTask-long,,saplma,reference baseline,0.1152,0.0457,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,DiffTask-long,,uniform,this project,0.1781,0.0281,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,DiffTask-long,,attention,this project,0.0978,0.0217,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,DiffTask-long,,wmsp_norm,this project,0.084,0.0239,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,DiffTask-long,,wmsp_shrink2,this project,0.2466,0.0168,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,DiffTask-long,,wmsp_shrink10,this project,0.2823,0.0347,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,LOO-long,,floor_sum,reference baseline,0.2307,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,LOO-long,,floor_ppl,reference baseline,0.299,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,LOO-long,,floor_min,reference baseline,0.1957,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,LOO-long,,fair_floor,reference baseline,0.1957,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,LOO-long,,saplma,reference baseline,0.1162,0.0369,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,LOO-long,,uniform,this project,0.0978,0.0435,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,LOO-long,,attention,this project,0.0622,0.0377,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,LOO-long,,wmsp_norm,this project,0.076,0.0243,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,LOO-long,,wmsp_shrink2,this project,0.2412,0.0067,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,LOO-long,,wmsp_shrink10,this project,0.2722,0.036,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,1ds-Diff-long,,floor_sum,reference baseline,0.2307,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,1ds-Diff-long,,floor_ppl,reference baseline,0.299,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,1ds-Diff-long,,floor_min,reference baseline,0.1957,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,1ds-Diff-long,,fair_floor,reference baseline,0.1957,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,1ds-Diff-long,,saplma,reference baseline,0.2885,0.0368,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,1ds-Diff-long,,uniform,this project,0.3111,0.0077,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,1ds-Diff-long,,attention,this project,0.3097,0.0199,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,1ds-Diff-long,,wmsp_norm,this project,0.0635,0.0351,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,1ds-Diff-long,,wmsp_shrink2,this project,0.2693,0.0414,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,samsum,1ds-Diff-long,,wmsp_shrink10,this project,0.2951,0.0347,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,ID,,floor_sum,reference baseline,0.6587,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,ID,,floor_ppl,reference baseline,0.2718,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,ID,,floor_min,reference baseline,0.507,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,ID,,fair_floor,reference baseline,0.507,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,ID,,saplma,reference baseline,0.8043,0.0115,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,ID,,uniform,this project,0.7953,0.0008,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,ID,,attention,this project,0.8089,0.0078,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,ID,,wmsp_norm,this project,0.6245,0.0135,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,ID,,wmsp_shrink2,this project,0.6488,0.0172,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,ID,,wmsp_shrink10,this project,0.6531,0.0263,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,SameTask-long,,floor_sum,reference baseline,0.6587,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,SameTask-long,,floor_ppl,reference baseline,0.2718,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,SameTask-long,,floor_min,reference baseline,0.507,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,SameTask-long,,fair_floor,reference baseline,0.507,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,SameTask-long,,saplma,reference baseline,0.6991,0.0097,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,SameTask-long,,uniform,this project,0.561,0.0065,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,SameTask-long,,attention,this project,0.6308,0.0467,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,SameTask-long,,wmsp_norm,this project,0.0862,0.0692,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,SameTask-long,,wmsp_shrink2,this project,0.4493,0.0644,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,SameTask-long,,wmsp_shrink10,this project,0.4634,0.0272,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,DiffTask-long,,floor_sum,reference baseline,0.6587,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,DiffTask-long,,floor_ppl,reference baseline,0.2718,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,DiffTask-long,,floor_min,reference baseline,0.507,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,DiffTask-long,,fair_floor,reference baseline,0.507,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,DiffTask-long,,saplma,reference baseline,0.306,0.2309,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,DiffTask-long,,uniform,this project,0.2049,0.2152,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,DiffTask-long,,attention,this project,0.2172,0.1706,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,DiffTask-long,,wmsp_norm,this project,-0.0172,0.1358,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,DiffTask-long,,wmsp_shrink2,this project,0.4156,0.0665,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,DiffTask-long,,wmsp_shrink10,this project,0.4224,0.036,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,LOO-long,,floor_sum,reference baseline,0.6587,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,LOO-long,,floor_ppl,reference baseline,0.2718,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,LOO-long,,floor_min,reference baseline,0.507,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,LOO-long,,fair_floor,reference baseline,0.507,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,LOO-long,,saplma,reference baseline,0.3038,0.3529,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,LOO-long,,uniform,this project,0.4762,0.0673,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,LOO-long,,attention,this project,0.3505,0.1919,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,LOO-long,,wmsp_norm,this project,0.1544,0.153,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,LOO-long,,wmsp_shrink2,this project,0.4009,0.0494,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,LOO-long,,wmsp_shrink10,this project,0.4431,0.0096,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,1ds-Diff-long,,floor_sum,reference baseline,0.6587,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,1ds-Diff-long,,floor_ppl,reference baseline,0.2718,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,1ds-Diff-long,,floor_min,reference baseline,0.507,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,1ds-Diff-long,,fair_floor,reference baseline,0.507,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,1ds-Diff-long,,saplma,reference baseline,-0.1133,0.0313,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,1ds-Diff-long,,uniform,this project,0.0032,0.0387,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,1ds-Diff-long,,attention,this project,-0.1079,0.0675,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,1ds-Diff-long,,wmsp_norm,this project,0.0641,0.1322,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,1ds-Diff-long,,wmsp_shrink2,this project,0.1123,0.0417,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,1ds-Diff-long,,wmsp_shrink10,this project,0.1397,0.0411,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,ID,,floor_sum,reference baseline,0.2474,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,ID,,floor_ppl,reference baseline,0.3399,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,ID,,floor_min,reference baseline,0.2977,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,ID,,fair_floor,reference baseline,0.2977,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,ID,,saplma,reference baseline,0.4692,0.0165,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,ID,,uniform,this project,0.3657,0.0066,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,ID,,attention,this project,0.3879,0.0055,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,ID,,wmsp_norm,this project,0.3714,0.0374,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,ID,,wmsp_shrink2,this project,0.4536,0.0071,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,ID,,wmsp_shrink10,this project,0.4341,0.0126,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,SameTask-long,,floor_sum,reference baseline,0.2474,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,SameTask-long,,floor_ppl,reference baseline,0.3399,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,SameTask-long,,floor_min,reference baseline,0.2977,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,SameTask-long,,fair_floor,reference baseline,0.2977,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,SameTask-long,,saplma,reference baseline,0.4111,0.0205,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,SameTask-long,,uniform,this project,0.1991,0.0179,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,SameTask-long,,attention,this project,0.2984,0.0147,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,SameTask-long,,wmsp_norm,this project,0.1581,0.018,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,SameTask-long,,wmsp_shrink2,this project,0.4758,0.0535,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,SameTask-long,,wmsp_shrink10,this project,0.37,0.0142,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,DiffTask-long,,floor_sum,reference baseline,0.2474,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,DiffTask-long,,floor_ppl,reference baseline,0.3399,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,DiffTask-long,,floor_min,reference baseline,0.2977,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,DiffTask-long,,fair_floor,reference baseline,0.2977,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,DiffTask-long,,saplma,reference baseline,0.349,0.0382,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,DiffTask-long,,uniform,this project,0.3259,0.0241,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,DiffTask-long,,attention,this project,0.3118,0.022,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,DiffTask-long,,wmsp_norm,this project,0.0818,0.1565,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,DiffTask-long,,wmsp_shrink2,this project,0.3263,0.0802,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,DiffTask-long,,wmsp_shrink10,this project,0.3649,0.0145,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,LOO-long,,floor_sum,reference baseline,0.2474,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,LOO-long,,floor_ppl,reference baseline,0.3399,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,LOO-long,,floor_min,reference baseline,0.2977,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,LOO-long,,fair_floor,reference baseline,0.2977,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,LOO-long,,saplma,reference baseline,0.3609,0.0324,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,LOO-long,,uniform,this project,0.3705,0.0143,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,LOO-long,,attention,this project,0.363,0.0435,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,LOO-long,,wmsp_norm,this project,0.1507,0.0967,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,LOO-long,,wmsp_shrink2,this project,0.4144,0.02,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,LOO-long,,wmsp_shrink10,this project,0.427,0.0292,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,1ds-Diff-long,,floor_sum,reference baseline,0.2474,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,1ds-Diff-long,,floor_ppl,reference baseline,0.3399,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,1ds-Diff-long,,floor_min,reference baseline,0.2977,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,1ds-Diff-long,,fair_floor,reference baseline,0.2977,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,1ds-Diff-long,,saplma,reference baseline,0.0678,0.0507,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,1ds-Diff-long,,uniform,this project,-0.1161,0.0164,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,1ds-Diff-long,,attention,this project,-0.0081,0.0764,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,1ds-Diff-long,,wmsp_norm,this project,0.0174,0.1264,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,1ds-Diff-long,,wmsp_shrink2,this project,0.2257,0.0318,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,factscore,1ds-Diff-long,,wmsp_shrink10,this project,0.2826,0.0128,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,ID,asqa:664,ptrue,reference baseline,0.1288,0.0051,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,ID,asqa:664,lookback,reference baseline,0.2649,0.043,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,ptrue,reference baseline,0.0004,0.0447,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,lookback,reference baseline,0.175,0.005,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,DiffTask-long,xsum:360+cnn_dailymail:360+samsum:360+expertqa:360+factscore:360,ptrue,reference baseline,0.1334,0.0274,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,DiffTask-long,xsum:360+cnn_dailymail:360+samsum:360+expertqa:360+factscore:360,lookback,reference baseline,0.1811,0.0168,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,ptrue,reference baseline,0.1478,0.0458,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,lookback,reference baseline,0.1525,0.0162,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,1ds-Diff-long,xsum:1800,ptrue,reference baseline,0.036,0.009,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,1ds-Diff-long,xsum:1800,lookback,reference baseline,0.155,0.0105,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,ID,cnn_dailymail:1800,ptrue,reference baseline,0.1297,0.0229,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,ID,cnn_dailymail:1800,lookback,reference baseline,0.3724,0.0008,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,SameTask-long,xsum:900+samsum:900,ptrue,reference baseline,0.0812,0.0675,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,SameTask-long,xsum:900+samsum:900,lookback,reference baseline,0.306,0.0572,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,ptrue,reference baseline,0.1176,0.0073,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,lookback,reference baseline,0.1987,0.0098,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,ptrue,reference baseline,0.0524,0.0656,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,lookback,reference baseline,0.1846,0.0371,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,1ds-Diff-long,pubmed_qa:1800,ptrue,reference baseline,-0.0543,0.0092,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,1ds-Diff-long,pubmed_qa:1800,lookback,reference baseline,0.2775,0.0025,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,ID,expertqa:1109,ptrue,reference baseline,0.6001,0.0273,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,ID,expertqa:1109,lookback,reference baseline,0.7968,0.004,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,expertqa,SameTask-long,factscore:468,ptrue,reference baseline,0.5414,0.0007,3,,corrected-span master,40,yes
